"date","value"
2020-03-01 00:00:00,4.1
2020-03-01 01:00:00,3.5
2020-03-01 02:00:00,4.0
2020-03-01 03:00:00,4.3
2020-03-01 04:00:00,4.3
2020-03-01 05:00:00,3.8
2020-03-01 06:00:00,3.5
2020-03-01 07:00:00,3.7
2020-03-01 08:00:00,4.1
2020-03-01 09:00:00,4.9
2020-03-01 10:00:00,5.9
2020-03-01 11:00:00,6.8
2020-03-01 12:00:00,7.4
2020-03-02 00:00:00,5.5
2020-03-02 01:00:00,4.5
2020-03-02 02:00:00,4.8
2020-03-02 03:00:00,5.6
2020-03-02 04:00:00,5.8
2020-03-02 05:00:00,5.6
2020-03-02 06:00:00,4.9
2020-03-02 07:00:00,4.3
2020-03-02 08:00:00,4.5
2020-03-02 09:00:00,4.0
2020-03-02 10:00:00,3.7
2020-03-02 11:00:00,3.6
2020-03-02 12:00:00,5.1
2020-03-03 00:00:00,2.1
2020-03-03 01:00:00,1.1
2020-03-03 02:00:00,0.9
2020-03-03 03:00:00,0.7
2020-03-03 04:00:00,0.9
2020-03-03 05:00:00,0.6
2020-03-03 06:00:00,0.3
2020-03-03 07:00:00,0.3
2020-03-03 08:00:00,1.4
2020-03-03 09:00:00,3.0
2020-03-03 10:00:00,4.7
2020-03-03 11:00:00,6.0
2020-03-03 12:00:00,5.9
2020-03-04 00:00:00,2.4
2020-03-04 01:00:00,1.6
2020-03-04 02:00:00,1.3
2020-03-04 03:00:00,1.1
2020-03-04 04:00:00,0.7
2020-03-04 05:00:00,0.5
2020-03-04 06:00:00,0.7
2020-03-04 07:00:00,0.9
2020-03-04 08:00:00,1.7
2020-03-04 09:00:00,2.7
2020-03-04 10:00:00,3.8
2020-03-04 11:00:00,4.9
2020-03-04 12:00:00,4.8
2020-03-05 00:00:00,4.7
2020-03-05 01:00:00,4.8
2020-03-05 02:00:00,4.9
2020-03-05 03:00:00,5.0
2020-03-05 04:00:00,5.0
2020-03-05 05:00:00,5.2
2020-03-05 06:00:00,5.0
2020-03-05 07:00:00,5.0
2020-03-05 08:00:00,5.2
2020-03-05 09:00:00,5.4
2020-03-05 10:00:00,5.6
2020-03-05 11:00:00,5.6
2020-03-05 12:00:00,5.5
2020-03-06 00:00:00,3.8
2020-03-06 01:00:00,3.6
2020-03-06 02:00:00,3.5
2020-03-06 03:00:00,3.3
2020-03-06 04:00:00,3.3
2020-03-06 05:00:00,3.1
2020-03-06 06:00:00,3.0
2020-03-06 07:00:00,2.2
2020-03-06 08:00:00,2.4
2020-03-06 09:00:00,2.8
2020-03-06 10:00:00,3.7
2020-03-06 11:00:00,4.8
2020-03-06 12:00:00,5.7
2020-03-07 00:00:00,3.9
2020-03-07 01:00:00,1.6
2020-03-07 02:00:00,1.3
2020-03-07 03:00:00,1.0
2020-03-07 04:00:00,0.7
2020-03-07 05:00:00,0.6
2020-03-07 06:00:00,1.4
2020-03-07 07:00:00,1.7
2020-03-07 08:00:00,2.2
2020-03-07 09:00:00,2.9
2020-03-07 10:00:00,3.5
2020-03-07 11:00:00,5.3
2020-03-07 12:00:00,6.3
2020-03-08 00:00:00,8.3
2020-03-08 01:00:00,8.5
2020-03-08 02:00:00,8.3
2020-03-08 03:00:00,8.2
2020-03-08 04:00:00,7.7
2020-03-08 05:00:00,7.8
2020-03-08 06:00:00,8.2
2020-03-08 07:00:00,8.4
2020-03-08 08:00:00,8.6
2020-03-08 09:00:00,8.9
2020-03-08 10:00:00,9.3
2020-03-08 11:00:00,9.7
2020-03-08 12:00:00,10.0
2020-03-09 00:00:00,6.1
2020-03-09 01:00:00,5.1
2020-03-09 02:00:00,5.0
2020-03-09 03:00:00,5.1
2020-03-09 04:00:00,5.0
2020-03-09 05:00:00,4.7
2020-03-09 06:00:00,4.6
2020-03-09 07:00:00,4.3
2020-03-09 08:00:00,5.1
2020-03-09 09:00:00,6.0
2020-03-09 10:00:00,7.0
2020-03-09 11:00:00,7.9
2020-03-09 12:00:00,8.5
2020-03-10 00:00:00,9.0
2020-03-10 01:00:00,9.7
2020-03-10 02:00:00,9.9
2020-03-10 03:00:00,10.0
2020-03-10 04:00:00,10.2
2020-03-10 05:00:00,10.5
2020-03-10 06:00:00,10.6
2020-03-10 07:00:00,10.6
2020-03-10 08:00:00,10.7
2020-03-10 09:00:00,10.9
2020-03-10 10:00:00,10.9
2020-03-10 11:00:00,11.2
2020-03-10 12:00:00,11.2
2020-03-11 00:00:00,9.9
2020-03-11 01:00:00,9.7
2020-03-11 02:00:00,9.1
2020-03-11 03:00:00,9.0
2020-03-11 04:00:00,8.7
2020-03-11 05:00:00,8.7
2020-03-11 06:00:00,8.8
2020-03-11 07:00:00,8.4
2020-03-11 08:00:00,8.6
2020-03-11 09:00:00,8.9
2020-03-11 10:00:00,9.4
2020-03-11 11:00:00,9.8
2020-03-11 12:00:00,10.2
2020-03-12 00:00:00,9.1
2020-03-12 01:00:00,8.5
2020-03-12 02:00:00,7.4
2020-03-12 03:00:00,6.4
2020-03-12 04:00:00,5.3
2020-03-12 05:00:00,4.7
2020-03-12 06:00:00,4.1
2020-03-12 07:00:00,3.7
2020-03-12 08:00:00,4.6
2020-03-12 09:00:00,6.2
2020-03-12 10:00:00,7.1
2020-03-12 11:00:00,7.4
2020-03-12 12:00:00,7.0
2020-03-13 00:00:00,5.1
